,title,year,genre,mix,bpm,artist
98,Get Down,2016,Dance,Original Mix,124,Paige
99,Water Down The Whiskey,2019,—,—,75,Paige King Johnson
100,Water Down The Whiskey,2019,—,—,75,Paige King Johnson
101,All The Way,2015,Top 40,—,110,Paige Young ft. Chip
102,2pac Feat. Stretch,—,Hip-Hop,—,84,Pain
103,Clouds Of Ecstasy,2008,Dance,Bassflow Remix,130,Pain
104,Forever,2014,Rock,—,88,Painted Palms
105,Refractor,2016,Rock,—,115,Painted Palms
106,Dig,2016,Rock,—,76,Painted Wives
107,Out Of Control,2013,—,Original Mix,128,Pairanoid
108,Say That,2011,—,Ave's Dirty Touch,125,Pair Of Dirty Shoes
109,Living On Video,2006,—,—,131,Pakito
110,Dying In A Hot Tub,2019,Rock,—,112,Palaye Royale
111,Get Higher,2018,—,—,131,Palaye Royale
112,Lonely,2020,AlternRock,PO Clean Edit,72,Palaye Royale
113,You'll Be Fine,2019,Rock,—,64,Palaye Royale
114,That Sinking Feeling,2012,Rock,—,126,Pale
115,My Addiction,2015,Rock,—,143,Pale Divine
116,One Big Party,2013,Rock,—,88,Paleface
117,Move It,2013,—,—,135,Palenke Soultribe ft. Naada
118,Theme Of Palermo Disko Machine,2009,—,—,127,Palermo Disko Machine
119,Throwing Back The Apple,2012,—,—,128,Pale Saints
120,Eighteen,2018,Rock,—,126,Pale Waves
121,One More Try,2018,Rock,—,70,Pale Waves
122,There's A Honey,2018,Rock,—,122,Pale Waves
123,Famous,2004,—,—,78,Palisade
124,Better Chemicals,2017,Rock,—,102,Palisades
125,Disclosure,2012,Rock,—,78,Palisades
126,Erase The Pain,2019,Rock,—,69,Palisades
127,Fall,2016,Rock,—,72,Palisades
128,High & Low,2014,Rock,—,128,Palisades
129,Let Down,2017,Rock,—,74,Palisades
130,Through Hell,2018,Rock,Explicit,68,Palisades
131,Mind Games,2015,Rock,EXPLICIT,128,Palisades ft. Champs
132,English Tongue,2015,Rock,—,127,Palma Violets
133,Tonight,—,—,—,100,Palmer
134,Palm Spring,2003,—,Palm Spring Club Mix,126,Palm Spring
135,Moi Lolita,2019,Dance,Extended Mix,105,Palm Trees ft. OT
136,Breathe In,2003,—,—,82,Paloalto
137,Sonny,2000,—,—,123,Paloalto
138,Tonto,2003,—,—,110,Paloma
139,30 Minute Love Affair,2012,Rock,—,100,Paloma Faith
140,Black & Blue,2013,Top 40,—,83,Paloma Faith
141,Can't Rely On You,2014,Pop, Quick Edit,115,Paloma Faith
142,Can't Rely On You,2014,Top 40, Quick Edit*,115,Paloma Faith
143,Can't Rely On You,2014,Pop,—,115,Paloma Faith
144,Just Be,2012,Top 40,—,60,Paloma Faith
145,Picking Up The Pieces,2012,—,—,136,Paloma Faith
146,Picking Up The Pieces,2013,—,Dave Aude Club Remix,130,Paloma Faith
147,Fingias,2019,—,—,96,Paloma Mami
148,No Te Enamores,2019,—,—,100,Paloma Mami
149,Kisses On The Side,2015,Dance, Quick Edit,125,Paloma Michelle
150,Kisses On The Side,2015,Dance,—,125,Paloma Michelle
151,Kisses On The Side,2015,Dance,EDM Pop Mix - English,125,Paloma Michelle
152,Welfare,2007,—,—,120,Paloma Of The Hood
153,No Me Conoces Aun,2001,—,—,86,Palomo
154,No Me Queda Mas,2005,—,—,81,Palomo
155,No Me Queda Mas De Selena,2005,—,—,81,Palomo
156,Nos Falto,2002,—,—,70,Palomo
157,Prenda Querida,2016,—,—,107,Palomo
158,Se Que Lloraras,2007,—,—,88,Palomo
159,Si La Miran,2001,—,—,78,Palomo
160,Si No Me Amas,2014,—,—,80,Palomo
161,Te Metiste En Mi Cama,2003,—,—,78,Palomo
162,Ya Supo Todo,2008,—,—,53,Palomo
163,,,,,,
164,Bubblers,2015,—,—,125,Palos
165,Tras Nubes,2007,—,—,72,Pambo
166,Caminho Da Perfeição,2003,Gospel,Remix,128,Pamela
