,title,year,genre,mix,bpm,artist
209,Spectrum,2012,—,Armin Van Buuren Remix,127,Zedd ft. Matthew Koma
210,Spectrum,2012,Dance, Quick Edit*,130,Zedd ft. Matthew Koma
211,Spectrum,2012,—,Monsta Remix,70,Zedd ft. Matthew Koma
212,Spectrum,2012,—,Extended Remix,130,Zedd ft. Matthew Koma
213,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
214,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
215,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
216,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
217,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
218,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
219,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
220,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
221,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
222,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
223,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
224,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
225,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
226,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
227,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
228,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
229,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
230,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
231,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
232,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
233,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
234,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
235,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
236,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
237,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
238,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
239,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
240,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
241,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
242,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
243,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
244,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
245,I Want You To Know,2015,Dance,Marc Benjamin Remix,128,Zedd ft. Selena Gomez
246,I Want You To Know,2015,Dance,—,130,Zedd ft. Selena Gomez
247,I Want You To Know,2015,—, Quick Edit,130,Zedd ft. Selena Gomez
248,I Want You To Know,2015,Dance, Quick Edit*,130,Zedd ft. Selena Gomez
