,title,year,genre,mix,bpm,artist
83,East Coast,2017,Hip-Hop,Clean Edit,67,A$AP Ferg ft. Remy Ma
84,Wild For The Night,2013,Trip-Hop,—,140,A$ap Rocky
85,Wild For The Night,2013,Trip-Hop,—,140,A$ap Rocky
86,Bad Company,2018,—,Explicit,145,A$AP Rocky ft. BlocBoy JB
87,Bad Company,2018,—,PO Clean Edit,145,A$AP Rocky ft. BlocBoy JB
88,Bad Company,2018,—,PopRoXxX Quick Edit,145,A$AP Rocky ft. BlocBoy JB
89,Bad Company,2018,—,PopRoXxX Intro Edit,145,A$AP Rocky ft. BlocBoy JB
90,Bad Company,2018,—,Explicit,145,A$AP Rocky ft. BlocBoy JB
91,Bad Company,2018,—,PO Clean Edit,145,A$AP Rocky ft. BlocBoy JB
92,Bad Company,2018,—,PopRoXxX Quick Edit,145,A$AP Rocky ft. BlocBoy JB
93,Bad Company,2018,—,PopRoXxX Intro Edit,145,A$AP Rocky ft. BlocBoy JB
94,Multiply,2014,Hip-Hop,Explicit,57,A$AP Rocky ft. Juicy J
95,Multiply,2014,Hip-Hop, Clean Edit,57,A$AP Rocky ft. Juicy J
96,A$AP Forever,2018,Urban,Explicit,125,A$AP Rocky ft. Moby
97,Electric Body,2015,Hip-Hop,Explicit,60,A$AP Rocky ft. Schoolboy Q
98,Electric Body,2015,Hip-Hop, Clean Edit,60,A$AP Rocky ft. Schoolboy Q
99,Praise The Lord (Da Shine),2018,Urban,Explicit,80,A$AP Rocky ft. Skepta
100,Praise The Lord (Da Shine),2018,Urban,PO Quick Edit,80,A$AP Rocky ft. Skepta
101,Praise The Lord (Da Shine),2018,Urban,PO Intro Edit,80,A$AP Rocky ft. Skepta
102,Praise The Lord (Da Shine),2018,Urban,—,80,A$AP Rocky ft. Skepta
103,Praise The Lord (Da Shine),2018,—,Clean Edit,80,A$AP Rocky ft. Skepta
104,Praise The Lord (Da Shine),2018,Urban,Explicit,80,A$AP Rocky ft. Skepta
105,Praise The Lord (Da Shine),2018,Urban,PO Quick Edit,80,A$AP Rocky ft. Skepta
