,title,year,genre,mix,bpm,artist
100,En Cero,2019,—,djleony Intro Edit,93,"Yandel, Sebastian Yatra & Manuel Turizo"
101,La Villana,2015,—,—,134,Yan El Diverso
102,La Traicion,2014,Salsa,—,101,Yanfourd
103,Tu Pirata De Amor,2014,Salsa,—,103,Yanfourd
104,Noche De Estrellas,2004,—,Tropic Mix,100,Yani Camarena
105,Noche De Estrellas,2004,Latin Pop,—,99,Yani Camarena
106,Rain Or Shine,2012,—,Original Mix,128,Yanik Coen
107,Asi Es Mi Vida,2002,—,—,106,Yanina
108,Party,2012,Dancehall,—,100,Yanique Sasha
109,That Feeling,1998,—,—,95,Yankee B.
110,All Things Considered,1999,—,—,140,Yankee Grey
111,Another Nine Minutes,2015,Country,—,138,Yankee Grey
112,This Time Around,2000,—,—,83,Yankee Grey
113,Pecado De Amor,2011,Reggaeton,—,85,Yankel Y Valdy
114,No Sleep,2012,—,—,125,Yankey Boy
115,Pullover,2014,—,—,128,Yankey Boy
116,Gimie Liquor,2015,—,—,128,Yankey Boy & Dev
117,Dark Beat,2014,—,MaTo Locos Remix,128,Yan Kings & Maxx Peak
118,Wine Sampling,2014,—,—,119,Yannick Hooper & Holla Bak
119,Vivire Por Ti,2009,—,—,61,Yanni Voces ft. Olga Tanon & Nathan Pacheco
120,A Midsummer Evening,2014,Rock,—,112,Yann Tiersen
121,Comptine D'un Autre Été Après Midi,—,—,—,90,Yann Tiersen
122,Sun Is Shining,2008,—,Spencer & Hill Remix,128,Yanou
123,Sun Is Shining,2007,—,Spencer Hill Radio Edit,128,Yanou
124,I Don't Know,2015,Dance,—,125,Yan Russ
125,Que Le De,2009,Urban,—,114,Yan Weynn
126,Siempre Sere,2008,Reggaeton,—,90,Yan Weynn
127,Amigos,2007,Salsa,Salsa Version,94,Yan Weynn ft. Huey Dumbar
128,Amigos,2007,Reggaeton,Reggaeton Version,93,Yan Weynn ft. Huey Dumbar
129,Yarabi,2007,—,—,132,Yarabi
130,"One Love, World Love",2007,Dance,Club Extended,128,Yardi Don vs. Frank Ti-Aya
131,"One Love, World Love",2007,Dance,Radio Edit,128,Yardi Don vs. Frank Ti-Aya
132,"One Love, World Love",2007,Dance,Club Extended,128,Yardi Don vs. Frank Ti-Aya
133,"One Love, World Love",2007,Dance,Radio Edit,128,Yardi Don vs. Frank Ti-Aya
134,Tu Me Vuelves Loco,2017,—,—,101,Yari
135,Mr. Calvin Klein,2017,Top 40,—,105,Yarin Glam
136,Talk To My Body,2018,House,Original Mix,125,Yas Cepeda ft. Ada
137,Asilah,2018,—,Original Mix,128,Yas Cepeda ft. Axel
138,Blacktop,2015,—,Original Mix,124,Yas Cepeda & John Pc
139,Pa Las Babies,2019,Latin,—,85,Yashua & Luis Figueroa
140,Blue Jeans,2002,—,Rizzo's Bellbottom Mix Show Edit,125,Yasmeen
141,Blue Jeans,2002,—,Bastone & Burnz Hiphugger Mix,125,Yasmeen
142,Blue Jeans,2002,—,—,100,Yasmeen
143,Blue Jeans,2002,—,Rizzo's Bellbottom Mix,125,Yasmeen
144,Bring It Up,2014,—,Classic Mix,127,Yass ft. Inaya Day
145,Mercury,2016,Rock,Explicit,120,Yates
146,Mercury,2016,Rock,Explicit,120,Yates
147,Al Suelo,2007,Reggaeton,—,89,Yaviah
148,Este Party Va,2003,—,—,96,Yaviah
149,Solo Es Bailar,2012,Salsa,—,98,Yaya
150,Got A Feeling,2016,Dance,—,140,YayaDoe
151,Wild One,2016,—,—,101,Yaysh
152,Don't Go,2008,—,—,126,Yaz
153,Don't Go,1999,—,Tee's Freeze Mix,127,Yaz
154,Situation,2015,Rock,US 12' Mix,119,Yaz
155,Situation,1999,—,Club 69 Millennium Mix,132,Yaz
156,Situation,2006,—,Richard X Remix,126,Yaz
157,Situation '99,1999,—,Dave Ralph's English Breakfast Mix,132,Yaz
158,Situation '99,1999,—,Club 69 Future Phunk Mix,128,Yaz
159,I Wish You,2009,—,Funky Mix,128,Yazee & Alexia G
160,Bad Connection,—,—,—,143,Yazoo
161,Didn't I Bring Your Love Down,—,—,—,130,Yazoo
162,Don't Go,—,—,—,126,Yazoo
163,Goodbye Seventies,—,—,—,131,Yazoo
164,In My Room,—,—,—,90,Yazoo
165,Midnight,—,—,—,126,Yazoo
166,Only You,—,—,—,106,Yazoo
167,Situation,—,—,—,119,Yazoo
168,State Farm,1990,New Wave,Madhouse,120,Yazoo
169,Too Pieces,—,—,—,135,Yazoo
170,,,,,,
171,The Only Way Is Up,2009,—,Robbie Rivera's Juicy Remix,124,Yazz
172,New Drip,2019,Urban,Explicit,69,YBN Almighty Jay & YBN Nahmir ft. Gucci Mane
173,Locationships,2019,Hip-Hop,PopRoXxX Intro Edit,68,YBN Cordae
174,Locationships,2019,Urban,Explicit,68,YBN Cordae
175,Locationships,2019,Urban,PO Clean Edit,68,YBN Cordae
176,Locationships,2019,Hip-Hop,PopRoXxX Quick Edit,68,YBN Cordae
177,RNP,2019,Hip-Hop,PO Verified Intro Edit,98,YBN Cordae ft. Anderson .Paak
178,RNP,2019,Hip-Hop,PO Quick Edit,98,YBN Cordae ft. Anderson .Paak
179,RNP,2019,Hip-Hop,Clean Edit,98,YBN Cordae ft. Anderson .Paak
180,Bad Idea,2019,Hip-Hop,PO Intro Edit,82,YBN Cordae ft. Chance The Rapper
181,Bad Idea,2019,Hip-Hop,PO Quick Edit,82,YBN Cordae ft. Chance The Rapper
182,Bad Idea,2019,Urban,Explicit,83,YBN Cordae ft. Chance The Rapper
183,Bad Idea,2019,Urban,—,83,YBN Cordae ft. Chance The Rapper
184,Bad Idea,2019,Hip-Hop,Clean Edit,82,YBN Cordae ft. Chance The Rapper
185,Bounce Out With That,2018,Hip-Hop,Explicit,95,YBN Nahmir
186,Bounce Out With That,2018,—,Clean Edit,95,YBN Nahmir
187,Fuck It Up,2019,Urban,Explicit,97,YBN Nahmir ft. City Girls & Tyga
188,2 Seater,2020,Hip-Hop,PO Clean Edit,63,YBN Nahmir ft. G-Eazy & Offset
189,Cake,2019,Urban,Explicit,80,YBN Nahmir ft. Wiz Khalifa
190,I Know,2011,—,Instrumental,76,YC ft. Ace Hood
191,I Know,2011,—,—,77,YC ft. Ace Hood
192,I Know,2011,—, Clean Edit,75,YC ft. Ace Hood
193,Racks,2011,—,(Explicit),70,YC ft. Future
194,Racks,2011,—,Instrumental,70,YC ft. Future
195,Racks,2011,Urban,Clean,70,YC ft. Future
196,Racks,2012,Urban, Quick Edit*,70,YC ft. Future
197,Racks,2012,Urban,—,70,YC ft. Future
198,Racks,2011,Urban,DJ Mike D Remix,135,YC ft. Future
199,Racks,2011,Urban,Remix 1,70,"YC ft. Wiz Khalifa, Waka Flocka Flame & B.o.B."
200,Racks,2011,Urban,Remix 2,70,"YC ft. Wiz Khalifa, Young Jeezy & B.o.B."
201,Music-non-stop,2002,—,Original Mix,140,YDR
202,Cheated Hearts,2006,—,Fan Version,135,Yeah Yeah Yeahs
203,Cheated Hearts,2006,—,Peaches Remix,136,Yeah Yeah Yeahs
204,Cheated Hearts,2006,Rock,—,135,Yeah Yeah Yeahs
205,Despair,2013,Rock,—,125,Yeah Yeah Yeahs
206,Gold Lion,2006,—,Diplo Remix,119,Yeah Yeah Yeahs
207,Gold Lion,2006,Rock,—,79,Yeah Yeah Yeahs
208,Heads Will Roll,2009,Rock,—,130,Yeah Yeah Yeahs
209,Maps,2004,—,—,120,Yeah Yeah Yeahs
210,Mosquito,2013,Rock,—,123,Yeah Yeah Yeahs
211,Sacrilege,2013,—,—,120,Yeah Yeah Yeahs
212,,,,,,
213,Skeletons,2010,—,—,96,Yeah Yeah Yeahs
214,Y Control,2004,—,Faint Remix,132,Yeah Yeah Yeahs
215,Y-Control,2004,Rock,—,132,Yeah Yeah Yeahs
216,Zero,2009,—,N.A.S.A. Bloody Lobo Remix,128,Yeah Yeah Yeahs
217,Zero,2009,—,—,124,Yeah Yeah Yeahs
218,Rise Up,2016,Rock,—,113,Year Of The Locust
219,Desire,2015,Dance,—,126,Years & Years
220,If You're Over Me,2018,Pop,PopRoXxX Intro Edit,104,Years & Years
221,If You're Over Me,2018,Pop,—,104,Years & Years
222,If You're Over Me,2018,Dance,NOTD Extended Remix,104,Years & Years
223,If You're Over Me,2018,Pop,PopRoXxX Quick Edit,104,Years & Years
224,King,2015,Dance,The Magician Remix,120,Years & Years
225,King,2015,Dance,—,120,Years & Years
226,Meteorite,2016,Dance,—,120,Years & Years
227,Sanctify,2018,Top 40,—,102,Years & Years
228,Shine,2016,—,—,108,Years & Years
229,,,,,,
230,Where The Road Leads,1998,—,—,68,"Yearwood, Trisha Duet With Garth Brooks"
231,Ambling Alp,2012,—,—,144,Yeasayer
232,Cold Night,2016,Alternative,Quick Edit,144,Yeasayer
233,Cold Night,2016,Alternative,Radio Edit,144,Yeasayer
234,Cold Night,2016,Alternative,Intro Edit,144,Yeasayer
235,Ecstatic Baby,2019,Rock,—,120,Yeasayer
236,I Am Chemistry,2016,Rock,—,75,Yeasayer
237,Longevity,2012,Alternative,—,73,Yeasayer
238,Madder Red,2010,—,MUNK Remix,115,Yeasayer
239,Madder Red,2010,Rock,—,82,Yeasayer
240,O.N.E.,2011,—,—,122,Yeasayer
241,,,,,,
242,Silly Me,2016,Rock,—,113,Yeasayer
243,Keys To The Jeep,2020,—,Original Mix - Explicit,129,YehMe2 ft. Rome Fortune
244,Alien Gruel,—,—,—,84,Yeht Mae
245,Animal Exile,—,—,—,115,Yeht Mae
246,Dead Souls Linger,—,—,—,131,Yeht Mae
247,Heaven In Hell,—,—,—,167,Yeht Mae
248,Killing Machines,—,—,—,116,Yeht Mae
249,Lynaka Says Don't Dream,—,—,—,129,Yeht Mae
250,Transmission,—,—,—,118,Yeht Mae
251,True Belief,—,—,—,121,Yeht Mae
252,You Will Die,—,—,—,131,Yeht Mae
253,American You,2015,Rock,—,83,Yelawolf
254,American You,2015,Alternative,Edited,83,Yelawolf
255,Hard White (Up In The Club),2011,—,—,76,Yelawolf
256,Hard White (Up In The Club),2011,Urban, Clean Edit,75,Yelawolf
257,Opie Taylor,2019,Alternative,Clean Edit,96,Yelawolf
258,Pop The Trunk,2010,—,—,60,Yelawolf
259,Get Mine,2018,Urban,Explicit,89,Yelawolf ft. Kid Rock
260,Let's Roll,2012,—,(Explicit),71,Yelawolf ft. Kid Rock
261,Let's Roll,2012,—,—,71,Yelawolf ft. Kid Rock
262,Hard White (Up In The Club),2011,Urban,CLEAN VERSION,76,Yelawolf ft. Lil Jon
263,Hard White (Up In The Club),2011,—,—,76,Yelawolf ft. Lil Jon
264,Hard White (Up In The Club),2011,—,(Explicit),76,Yelawolf ft. Lil Jon
265,Write Your Name,2012,Urban,—,87,Yelawolf ft. Mona Moua
266,Hard White (Up In The Club),2011,Urban, Clean Remix Edit,76,Yelawolf ft. T.I. & Slaughterhouse
267,Hard White (Up In The Club),2012,—,Remix,76,Yelawolf ft. T.I. & Slaughterhouse
268,Keep It In Da Streets,2020,Hip-Hop,Clean Edit,75,Yella Beezy
269,That's On Me,2018,Hip-Hop,Instrumental,66,Yella Beezy
270,That's On Me,2018,Hip-Hop,PopRoXxX Quick Edit,66,Yella Beezy
271,That's On Me,2018,Hip-Hop,PopRoXxX Intro Edit,66,Yella Beezy
272,That's On Me,2018,Urban,Explicit,66,Yella Beezy
273,That's On Me,2018,Urban,PO Clean Edit,66,Yella Beezy
274,Restroom Occupied,2019,Hip-Hop,PO Quick Edit,58,Yella Beezy ft. Chris Brown
275,Restroom Occupied,2019,Hip-Hop,Instrumental,58,Yella Beezy ft. Chris Brown
276,Restroom Occupied,2019,Hip-Hop,PO Clean Edit,58,Yella Beezy ft. Chris Brown
277,Restroom Occupied,2019,Hip-Hop,PO Intro Edit,58,Yella Beezy ft. Chris Brown
278,Restroom Occupied,2019,Hip-Hop,Explicit,58,Yella Beezy ft. Chris Brown
279,What I Did,2019,Hip-Hop,Instrumental,62,Yella Beezy ft. Kevin Gates
280,What I Did,2019,Hip-Hop,Explicit,62,Yella Beezy ft. Kevin Gates
281,Rich MF,2019,Hip-Hop,PopRoXxX Quick Edit,104,Yella Beezy ft. Pharrell Williams
282,Rich MF,2019,Hip-Hop,PopRoXxX Intro Edit,104,Yella Beezy ft. Pharrell Williams
283,Rich MF,2019,Hip-Hop,PO Clean Edit,104,Yella Beezy ft. Pharrell Williams
284,Rich MF,2019,Hip-Hop,Explicit,104,Yella Beezy ft. Pharrell Williams
285,Bacc At It Again,2019,Urban,PO Clean Edit,69,Yella Beezy ft. Quavo & Gucci Mane
286,Bacc At It Again,2019,Hip-Hop,Explicit,68,Yella Beezy ft. Quavo & Gucci Mane
287,Headlocc,2020,Hip-Hop,PO Clean Edit,63,Yella Beezy ft. Young Thug
288,Ba$$in,2015,Dance,—,125,Yelle
289,Ce Jeu,2009,—,—,108,Yelle
290,Comme Un Enfant,2012,—,—,125,Yelle
291,Je Veux Te Voir,2008,Dance,—,127,Yelle
292,Safari Disco Club,2011,—,—,120,Yelle
293,Love Will Keep Us Together,2014,—,—,66,Yell For Help
294,Oh Yeah,2005,—,—,134,Yello
295,Planet Dada,2005,—,—,136,Yello
296,The Race,1988,Dance,—,123,Yello
297,"For You, & Your Denial",2011,Rock,—,175,Yellowcard
298,Hang You Up,2011,Top 40,—,99,Yellowcard
299,Here I Am Alive,2012,—,—,64,Yellowcard
300,Lights & Sounds,2005,—,—,167,Yellowcard
301,Light Up The Sky,2007,Rock,—,142,Yellowcard
302,Ocean Avenue,2004,Rock,—,172,Yellowcard
303,One Bedroom,2014,Alternative,—,90,Yellowcard
304,Only One,2005,Rock,Live at the Electric Factory,84,Yellowcard
305,Only One,2004,Rock,—,82,Yellowcard
306,Rough Landing Holly,2006,—,Acoustic Version,89,Yellowcard
307,,,,,,
308,"Rough Landing, Holly",2006,—,—,176,Yellowcard
309,"Rough Landing, Holly (Accoustic Version)",2006,—,Acoustic Version,89,Yellowcard
310,See Me Smiling,2011,Rock,—,80,Yellowcard
311,Way Away,2008,Rock,—,180,Yellowcard
312,Way Away,2003,—,Album Version,180,Yellowcard
313,In My Room,2015,Dance,—,104,Yellow Claw & DJ Mustard ft. Ty Dolla $ign & Tyga
314,Catch Me,2016,Dance,—,145,Yellow Claw & Flux Pavilion ft. Naaz
315,Till It Hurts,2015,Dance,—,73,Yellow Claw ft. Ayden
316,Till It Hurts,2015,Dance,Extended,72,Yellow Claw ft. Ayden
317,Good Day,2017,Dance,—,104,Yellow Claw ft. DJ Snake & Elliphant
318,City On Lockdown,2017,Dance,Explicit,150,Yellow Claw ft. Juicy J & Lil Debbie
319,We Made It,2015,Dance,—,75,Yellow Claw ft. Lil Eddie
320,We Made It,2015,Dance,—,75,Yellow Claw ft. Lil Eddie
321,Open,2017,Dance,—,128,Yellow Claw ft. Moksi & Jonna Fraser
322,Open,2017,—,/ Tommie Sunshine's Brooklyn Fire Re-Touch / Intro Edit,128,Yellow Claw ft. Moksi & Jonna Fraser
323,Stacks,2017,Electronica,Original Mix,150,"Yellow Claw ft. Quavo, Tinie Tempah & Cesqeaux"
324,Light Years,2017,Dance,Explicit,75,Yellow Claw ft. Rochelle
325,Light Years,2017,Dance,—,75,Yellow Claw ft. Rochelle
326,Summertime,2018,Dance,—,108,Yellow Claw ft. San Holo
327,Both Of Us,2018,—,Lyric Video,80,Yellow Claw ft. STORi
328,Crash This Party,2018,Dance,Explicit,80,Yellow Claw ft. Tabitha Nauser
