,title,year,genre,mix,bpm,artist
92,Blonde Spectacular,2012,—,Fed Conti Swedish Blonde Mix,126,La Boutique
93,Beneath Your Beautiful,2013,—,AG Remix,84,Labrinth ft. Emeli Sande
94,Beneath Your Beautiful,2013,—,Radio Edit,84,Labrinth ft. Emeli Sande
95,Beneath Your Beautiful,2013,Top 40,—,84,Labrinth ft. Emeli Sande
96,Earthquake,2012,—,DJ Mike D Dirty Extended,130,Labrinth ft. Tinie Tempah
97,Genius,2018,Top 40,—,80,Labrinth x Sia x Diplo Present LSD
98,Genius,2018,Top 40,Explicit,80,Labrinth x Sia x Diplo Present LSD
99,How We Do,2016,Top 40,—,99,LaBritney
100,Me Haces Falta,2001,—,—,86,La Busqueda
101,Esta Noche Solo Cantan Para Mi,2007,Pop,La Revolución Sexual,121,La Casa Azul
102,Superguay,—,Pop,—,130,La Casa Azul
103,Rompecabezas,2016,—,—,108,La Casta
104,I Want A Man,1999,—,—,125,Lace
105,Kiss 'em All,2000,—,—,88,Lace
106,Lloran Las Rosas,2001,—,—,89,La Celda
107,#Now!,2014,Urban,—,70,Lace Leno
108,Rot,2016,Rock,—,71,Lacey Sturm
109,Pan Y Queso,2006,—,—,147,La Chio
110,Amiga,2004,—,—,98,La Cima
111,Como Duele,2006,—,—,65,La Cima
112,En Mis Suenos,2004,—,—,83,La Cima
113,No Es Cierto,2007,—,—,104,La Cima
114,"Te Extrano, Te Olvido, Te Amo",2005,—,Radio Edit,69,La Cima
115,What Can I Say,1998,—,—,89,Lackey
116,We Are One,2011,—,LackofRAM's When It Comes To Love Mix,122,LackofRAM
117,That's Coke,2009,—,(Explicit),89,La Coka Nostra
118,La Inconforme,2005,—,—,92,La Colonia
119,Me Doy Cuenta,2012,Merengue Mambo,—,66,La Comision
120,Una Aventura,2012,Merengue Mambo,—,135,La Comision ft. Mayra Luz
121,Una Aventura,2012,Merengue Mambo,—,135,La Comision ft. Mayra Luz
122,Mama No Me Deja,2007,—,—,100,La Conquista
123,"Speedy, Cheka & Benny",2004,Latin Pop,—,94,La Conspiracion 2
124,Cumbia Contra,2002,—,—,111,La Contra
125,"Blood, Tears, Dust",2017,Rock,—,116,Lacuna Coil
126,Delirium,2016,Rock,—,98,Lacuna Coil
127,End Of Time,2013,Rock,—,108,Lacuna Coil
128,I Forgive (But I Won't Forget Your Name),2014,Rock,—,122,Lacuna Coil
129,Layers Of Time,2019,Rock,—,94,Lacuna Coil
130,Nothing Stands In Our Way,2014,Rock,—,99,Lacuna Coil
131,Spellbound,2009,—,—,92,Lacuna Coil
132,Trip The Darkness,2011,—,—,92,Lacuna Coil
133,"Blood, Tears, Dust",2017,Rock,—,116,Lacuna Coil
134,Delirium,2016,Rock,—,98,Lacuna Coil
135,End Of Time,2013,Rock,—,108,Lacuna Coil
136,I Forgive (But I Won't Forget Your Name),2014,Rock,—,122,Lacuna Coil
137,Layers Of Time,2019,Rock,—,94,Lacuna Coil
138,Nothing Stands In Our Way,2014,Rock,—,99,Lacuna Coil
139,Spellbound,2009,—,—,92,Lacuna Coil
140,Trip The Darkness,2011,—,—,92,Lacuna Coil
141,Really Like You,2010,Reggae,—,89,Laden
142,Mr Rrrider,2002,—,Jess Jackson Vocal Mix,134,Ladies Cru
143,Maybe Baby,2010,—,—,122,Ladies Of The Canyon
144,Free Your Mind,2011,—,Bassmonkeys Club Mix,127,La-Di-Ga Project ft. Cheryl
145,Se Me Cayeron Las Alas,2005,—,—,125,La Dinastia De Tuzantla Mich.
146,Ain't No Taylor Swift,2020,House,Dirty Werk Extended Club Mix,126,Ladi Rosa
147,La Chica De Los Ojos Negros,2009,Banda,—,142,La Dominante Banda Cerrito
148,Serian Las Dos,2009,Banda,—,150,La Dominante Banda El Cerrito
149,La Misma Historia,2001,—,—,86,Ladron
150,La Misma Historia,2001,—,—,86,Ladron
151,International Mystery Man,2002,—,—,140,Lads
152,Our Kind Of Love,2010,Country,—,112,Lady Antebellum
153,We Owned The Night,2016,Country,—,100,Lady Antebellum
154,You Look Good,2017,Country,Lyric Video Intro Edit,76,Lady Antebellum
155,You Look Good,2017,Country,Intro Edit,76,Lady Antebellum
156,You Look Good,2017,Country,—,76,Lady Antebellum
157,You Look Good,2017,Country,Quick Edit,76,Lady Antebellum
158,You Look Good,2017,Country,Lyric Video Quick Edit,76,Lady Antebellum
159,You Look Good,2017,Country,Lyric Video,76,Lady Antebellum
160,That Paper,2016,Dance,Fre$ha Remix - Explicit,80,Lady Bee ft. Feliciana
161,Return Of The Mack,2015,Dance,Oliver Heldens Remix Edit,125,Lady Bee ft. Rochelle
162,Return Of The Mack,2015,Dance,Oliver Heldens Remix,125,Lady Bee ft. Rochelle
163,The Brown & Red Divide,2007,Rock,—,128,LadybiRdS
164,Dogg Starr,2006,—,—,114,Ladybug Mecca
165,Dogg Starr,2007,Urban,Clean Remix,102,Ladybug Mecca
166,You Never Get Over/Dogg Starr,2006,—,—,114,Ladybug Mecca
167,Equilibrium/Informer,2012,Dance,—,128,Lady Chann
168,Equilibrium/Informer,2012,Dance,—,128,Lady Chann
169,Better Side,2012,—,—,142,Lady Danville
170,The Cure,2017,Pop,Radio Edit,100,Lady Gaga
171,The Cure,2017,Top 40,Lyric Video,100,Lady Gaga
172,The Cure,2017,—,Lyric Video Intro Edit,100,Lady Gaga
173,The Cure,2017,Top 40,Lyric Video Quick Edit,100,Lady Gaga
174,The Cure,2017,Pop,—,100,Lady Gaga
175,The Queen,—,Pop,—,144,Lady Gaga
176,Til It Happens To You,2015,Top 40,—,57,Lady Gaga
177,The Cure,2017,Pop,Radio Edit,100,Lady Gaga
178,The Cure,2017,Top 40,Lyric Video,100,Lady Gaga
179,The Cure,2017,—,Lyric Video Intro Edit,100,Lady Gaga
180,The Cure,2017,Top 40,Lyric Video Quick Edit,100,Lady Gaga
181,The Cure,2017,Pop,—,100,Lady Gaga
182,The Queen,—,Pop,—,144,Lady Gaga
183,Til It Happens To You,2015,Top 40,—,57,Lady Gaga
184,Poker Face,—,Hip-Hop,—,130,Lady Ga Ga
185,Poker Face,—,Hip-Hop,—,130,Lady Ga Ga
186,Telephone,2009,—,Album Version,122,Lady GaGa ft. Beyonce
187,Telephone,2010,Dance,PO Clean Non Break Edit*,122,Lady GaGa ft. Beyonce
188,Telephone,2010,Top 40,Long Version,122,Lady GaGa ft. Beyonce
189,Telephone,2010,—,—,122,Lady GaGa ft. Beyonce
190,Telephone,2010,Top 40,Clean Version,122,Lady GaGa ft. Beyonce
191,Just Dance,2008,—,HCCR'S Bambossa Main Mix,127,Lady Gaga ft. Colby O'Donis
192,Just Dance,2008,Dance,HCCR'S Bambossa Edit*,127,Lady Gaga ft. Colby O'Donis
193,Just Dance,2008,—,HCCR's Bambossa Radio Edit,127,Lady Gaga ft. Colby O'Donis
194,Just Dance,2008,—,HCCR'S Bambossa Main Mix,127,Lady Gaga ft. Colby O'Donis
195,Just Dance,2008,Dance,HCCR'S Bambossa Edit*,127,Lady Gaga ft. Colby O'Donis
196,Just Dance,2008,—,HCCR's Bambossa Radio Edit,127,Lady Gaga ft. Colby O'Donis
197,Do What U Want,2013,—, Quick Edit,98,Lady Gaga ft. R. Kelly
198,Do What U Want,2013,—,—,98,Lady Gaga ft. R. Kelly
199,Do What U Want,2013,—,Explicit,98,Lady Gaga ft. R. Kelly
200,Do What U Want,2013,—, Quick Edit,98,Lady Gaga ft. R. Kelly
201,Do What U Want,2013,—,—,98,Lady Gaga ft. R. Kelly
202,Do What U Want,2013,—,Explicit,98,Lady Gaga ft. R. Kelly
203,Christmas Tree,2009,—,—,109,Lady GaGa ft. Space Cowboy
204,Christmas Tree,2009,—,—,109,Lady GaGa ft. Space Cowboy
205,A Love Song,2016,Dance,Adam Turner Remix,127,Ladyhawke
206,A Love Song,2016,Dance,Adam Turner Radio Edit,126,Ladyhawke
207,A Love Song,2016,Rock,—,120,Ladyhawke
208,My Delirium,2009,Rock,—,150,Ladyhawke
209,Paris Is Burning (Paris s'enflamme),2009,—,—,123,Ladyhawke
210,Sunday Drive,2012,Rock,—,128,Ladyhawke
211,I Get Off,2011,—,Soulshaker Club Mix,128,Lady Indiraa
212,Shrink,2012,—,Soulshaker Club Mix,128,Lady Indiraa
213,I Get Off,2011,—,Soulshaker Club Mix,128,Lady Indiraa
214,Shrink,2012,—,Soulshaker Club Mix,128,Lady Indiraa
215,No Me Controlas,2020,Reggaeton,—,102,Lady Laura
216,Bump & Bunx,2018,Dancehall,—,106,Lady Lava
217,Holding Out For A Hero,2006,—,Giuseppe D Radio Mix,142,Lady life
218,Round Up,2002,—,—,87,Lady May Feat. Blu Cantrell
219,Real Style,2013,Dancehall,—,99,Lady N
220,A Primera Vista,2014,Bachata,—,140,La Dynastia Freddy Kenton JR
221,Afro Puffs,1994,Hip-Hop,—,90,LADY OF RAGE
222,Afro Puffs,1994,Hip-Hop,—,90,LADY OF RAGE
223,Caan Du Mi Up,2011,Dancehall,—,100,Lady Saw
224,I Got Your Man,2005,Urban,—,100,Lady Saw
225,I've Got Your Man,2004,—,—,100,Lady Saw
226,Lef Dancehall,2014,Dancehall,—,93,Lady Saw
227,Man Haffi Mind Wi,1998,—,Lp Clean,98,Lady Saw
228,Me & My Crew (The Rae),2008,Dancehall,—,91,Lady Saw
229,Nah Mind Man,2005,—,—,88,Lady Saw
230,No Less Than A Woman,2007,Urban,—,83,Lady Saw
231,Son Of A Bitch,2001,—,Club Edit,95,Lady Saw
232,Strip Tease,2005,—,—,117,Lady Saw
233,,,,,,
234,When We Wine,2012,Dancehall,—,100,Lady Saw
235,Caan Du Mi Up,2011,Dancehall,—,100,Lady Saw
236,I Got Your Man,2005,Urban,—,100,Lady Saw
237,I've Got Your Man,2004,—,—,100,Lady Saw
238,Lef Dancehall,2014,Dancehall,—,93,Lady Saw
239,Man Haffi Mind Wi,1998,—,Lp Clean,98,Lady Saw
240,Me & My Crew (The Rae),2008,Dancehall,—,91,Lady Saw
241,Nah Mind Man,2005,—,—,88,Lady Saw
242,No Less Than A Woman,2007,Urban,—,83,Lady Saw
243,Son Of A Bitch,2001,—,Club Edit,95,Lady Saw
244,Strip Tease,2005,—,—,117,Lady Saw
245,,,,,,
246,When We Wine,2012,Dancehall,—,100,Lady Saw
247,I Got Your Man,2005,—,DJ Kazzanova Reggae Meets Reggaeton Remix,100,Lady Saw ft. Remy Martin
248,I Got Your Man,2005,—,DJ Kazzanova Reggae Meets Reggaeton Remix,100,Lady Saw ft. Remy Martin
249,Let It Strum,2008,—,—,94,Lady Set
250,Lock Off,2009,Urban,—,104,Lady Set
251,I Got You Dancing!,2009,—,Jack Beats Remix,128,Lady Sovereign
252,Love Me or Hate Me,2007,—,—,120,Lady Sovereign
253,Love Me Or Hate Me,2007,—,EXPLICIT,120,Lady Sovereign
254,Love Me Or Hate Me,2006,—,PO Clean Edit,120,Lady Sovereign
255,Love Me Or Hate Me,2007,Urban,PO Clean Edit*,120,Lady Sovereign
256,Love Me Or Hate Me (f**k You!!!!),2006,Hip-Hop,—,120,Lady Sovereign
257,So Human,2009,Top 40,—,182,Lady Sovereign
258,Those Were The Days,2007,Urban,—,94,Lady Sovereign
259,Love Me Or Hate Me,2007,—,Jason Nevins Retro-Electro Radio Edit,126,Lady Sovereign ft. Missy Elliott
260,Love Me Or Hate Me,2007,—,Friscia & Lamboy Dirty Vocal Mix,128,Lady Sovereign ft. Missy Elliott
261,Love Me Or Hate Me,2007,—,The Remix,120,Lady Sovereign ft. Missy Elliott
262,Love Me Or Hate Me,2007,—,Jason Nevins Retro-Electro Clean Club Mix,126,Lady Sovereign ft. Missy Elliott
263,White Elephant,2011,Rock,—,125,Ladytron
264,Beautiful World,2004,—,Extended Edit,140,Lady Violet
265,Beautiful World,2004,Dance,Extended Mix Edit,140,Lady Violet
266,Despedida De Soltera,2018,—,—,119,La Energia Nortena
267,Donde Quedo,2017,—,—,115,La Energia Nortena
268,El Amor De Mi Vida,2014,—,—,117,La Energia Nortena
269,El Taxista,2017,—,—,119,La Energia Nortena
270,Hoy Me Toca Perder,2016,—,—,48,La Energia Nortena
271,Malditos Sentimientos,2015,—,—,115,La Energia Nortena
272,Me Dejaste Solo,2016,—,—,115,La Energia Nortena
273,Por El Bien De Los Dos,2014,—,—,115,La Energia Nortena
274,Harmonica,2009,—,Club Mix,127,Laera
275,Infinito,2010,—,Morning Mix,127,Laera
276,Infinito,2010,—,Nicola Viti de Angelis & Semion Berkovitch Rework Mix,127,Laera
277,La Guitarra De La Luna,2011,—,Original Mix,128,Laera
278,Maravilla,2011,—,Original Mix,126,Laera
279,The Beat Is Underground,2012,—,Original Mix,125,Laera
280,Harmonica,2009,—,Club Mix,127,Laera
281,Infinito,2010,—,Morning Mix,127,Laera
282,Infinito,2010,—,Nicola Viti de Angelis & Semion Berkovitch Rework Mix,127,Laera
283,La Guitarra De La Luna,2011,—,Original Mix,128,Laera
284,Maravilla,2011,—,Original Mix,126,Laera
285,The Beat Is Underground,2012,—,Original Mix,125,Laera
286,Al Fin,2014,—,—,54,La Estructura
287,Para Que Te Quejas,2014,—,—,90,La Estructura
